programname,county,name,address,city,state,zip,phone,contact
Community Action Development Corporation,Tillman County,Frederick Head Start,521 E Gladstone Ave,Frederick,OK,73542-4437,(580) 335-5644,521 E Gladstone Ave Frederick OK 73542-4437 (580) 335-5644
Community Action Development Corporation,Jefferson County,Waurika Head Start,803 Phillips Ave,Waurika,OK,73573-3422,(580) 228-2810,803 Phillips Ave Waurika OK 73573-3422 (580) 228-2810
Community Action Development Corporation,Tillman County,Grandfield Head Start,416 S Main St,Grandfield,OK,73546-9440,(580) 479-5325,416 S Main St Grandfield OK 73546-9440 (580) 479-5325
Community Action Development Corporation,Washita County,Burns Flat Dill City Head Start,"100 Cimarron Rd
# A",Burns Flat,OK,73624,(580) 562-1776,"100 Cimarron Rd
# A Burns Flat OK 73624 (580) 562-1776"
Community Action Development Corporation,Kiowa County,Hobart Head Start,400B N Randlett St,Hobart,OK,73651-1636,(580) 726-3648,400B N Randlett St Hobart OK 73651-1636 (580) 726-3648
Community Action Development Corporation,Washita County,Sentinel Head Start,114 S 3rd,Sentinel,OK,73664,(580) 393-4303,114 S 3rd Sentinel OK 73664 (580) 393-4303
Community Action Development Corporation,Washita County,Cordell Head Start,511 E Kiowa St,Cordell,OK,73632-6040,(580) 832-2454,511 E Kiowa St Cordell OK 73632-6040 (580) 832-2454
Community Action Development Corporation,Jefferson County,Ringling Head Start,Highway 89 Oak,Ringling,OK,73456,(580) 662-2987,Highway 89 Oak Ringling OK 73456 (580) 662-2987
Community Action Development Corporation,Beckham County,Erick Head Start,611 West Third Street,Erick,OK,73645,(580) 526-3198,611 West Third Street Erick OK 73645 (580) 526-3198
Community Action Development Corporation,Beckham County,Sayre Head Start,400 E Hannah,Sayre,OK,73662,(580) 928-5417,400 E Hannah Sayre OK 73662 (580) 928-5417
Community Action Development Corporation,Roger Mills County,Hammon Head Start,8th and Shockey,Hammon,OK,73650,(580) 473-9110,8th and Shockey Hammon OK 73650 (580) 473-9110
Community Action Development Corporation,Cotton County,Temple Head Start Cener,103 West Texas,Temple,OK,73568,(580) 342-5022,103 West Texas Temple OK 73568 (580) 342-5022
Community Action Development Corporation,Tillman County,Frederick Head Start Center - Public School,213 S 13th St,Frederick,OK,73542-5802,(580) 335-5713,213 S 13th St Frederick OK 73542-5802 (580) 335-5713
Community Action Development Corporation,Kiowa County,Snyder Head Start,Hwy 183 Walnut,Mountain Park,OK,73559,(580) 569-4335,Hwy 183 Walnut Mountain Park OK 73559 (580) 569-4335
Tulsa Educare,Tulsa County,Educare 2-Hawthorne,3420 N Peoria Ave,Tulsa,OK,74106-2000,(918) 508-2250,3420 N Peoria Ave Tulsa OK 74106-2000 (918) 508-2250
Tulsa Educare,Tulsa County,Educare 3-MacArthur,2190 S 67th East Ave,Tulsa,OK,74129-2008,(539) 832-8200,2190 S 67th East Ave Tulsa OK 74129-2008 (539) 832-8200
Tulsa Educare,Tulsa County,Happy Hands Educational Center,8801 S Garnett Rd,Broken Arrow,OK,74012-6002,(918) 893-4800,8801 S Garnett Rd Broken Arrow OK 74012-6002 (918) 893-4800
Delta Community Action Foundation,Garvin County,Pauls Valley  Head Start,500 E Garvin Ave,Pauls Valley,OK,73075-4226,(405) 238-3400,500 E Garvin Ave Pauls Valley OK 73075-4226 (405) 238-3400
Delta Community Action Foundation,McClain County,Purcell Early Learning Center,715 S 4th Ave,Purcell,OK,73080-6422,(405) 527-5551,715 S 4th Ave Purcell OK 73080-6422 (405) 527-5551
Delta Community Action Foundation,Garvin County,Stratford Head Start,241 N Oak,Stratford,OK,74872-4436,(580) 759-2382,241 N Oak Stratford OK 74872-4436 (580) 759-2382
Delta Community Action Foundation,Garvin County,Lindsay Head Start/Early Head Start,14027 E County Road 1518,Lindsay,OK,73052-5404,(405) 756-3513,14027 E County Road 1518 Lindsay OK 73052-5404 (405) 756-3513
Delta Community Action Foundation,McClain County,Blanchard Head Start,401 NE 5th Street,Blanchard,OK,73010,(405) 485-3947,401 NE 5th Street Blanchard OK 73010 (405) 485-3947
Delta Community Action Foundation,Stephens County,Duncan Irving Head Start/ Early Head Start,1200 W Sycamore Ave,Duncan,OK,73533-5023,(580) 255-5571,1200 W Sycamore Ave Duncan OK 73533-5023 (580) 255-5571
Delta Community Action Foundation,Stephens County,Comanche Head Start,1030 Ash Ave,Comanche,OK,73529-2636,(580) 439-2900,1030 Ash Ave Comanche OK 73529-2636 (580) 439-2900
Delta Community Action Foundation,McClain County,Purcell Pre-K collaboration,809 N 9th Ave,Purcell,OK,73080-2029,(405) 527-2146,809 N 9th Ave Purcell OK 73080-2029 (405) 527-2146
Delta Community Action Foundation,McClain County,Dibble Head Start,100 Main Street,Dibble,OK,73031,(405) 344-7295,100 Main Street Dibble OK 73031 (405) 344-7295
Delta Community Action Foundation,Stephens County,Marlow Head Start/Chatterbox Child Care,503 E Main St,Marlow,OK,73055-3602,(580) 658-1000,503 E Main St Marlow OK 73055-3602 (580) 658-1000
Delta Community Action Foundation,Garvin County,Pauls Valley @The Corner,309 E Charles Ave,Pauls Valley,OK,73075-4201,(405) 207-9013,309 E Charles Ave Pauls Valley OK 73075-4201 (405) 207-9013
Delta Community Action Foundation,Garvin County,Whitebead Head Start,16476 N County Road 3200,Pauls Valley,OK,73075-8601,(405) 238-3021,16476 N County Road 3200 Pauls Valley OK 73075-8601 (405) 238-3021
Delta Community Action Foundation,McClain County,Purcell Early Learning Center,715 S 4th Ave,Purcell,OK,73080-6422,(405) 527-5551,715 S 4th Ave Purcell OK 73080-6422 (405) 527-5551
Delta Community Action Foundation,Garvin County,Lindsay Head Start/Early Head Start,14027 E County Road 1518,Lindsay,OK,73052-5404,(405) 756-3513,14027 E County Road 1518 Lindsay OK 73052-5404 (405) 756-3513
Delta Community Action Foundation,Stephens County,Duncan Irving Head Start/ Early Head Start,1200 W Sycamore Ave,Duncan,OK,73533-5023,(580) 255-5571,1200 W Sycamore Ave Duncan OK 73533-5023 (580) 255-5571
Delta Community Action Foundation,Garvin County,Pauls Valley @The Corner,309 E Charles Ave,Pauls Valley,OK,73075-4201,(405) 207-9013,309 E Charles Ave Pauls Valley OK 73075-4201 (405) 207-9013
Green Country Behavioral Health Services,Muskogee County,Hilldale Public Schools,313 E Peak Blvd,Muskogee,OK,74403-8515,(918) 683-0273,313 E Peak Blvd Muskogee OK 74403-8515 (918) 683-0273
Green Country Behavioral Health Services,Muskogee County,Hilldale Public Schools,313 E Peak Blvd,Muskogee,OK,74403-8515,(918) 683-0273,313 E Peak Blvd Muskogee OK 74403-8515 (918) 683-0273
Green Country Behavioral Health Services,Muskogee County,Haskell Campus,313 Chickasaw Road,Haskell,OK,74436,(918) 482-5441,313 Chickasaw Road Haskell OK 74436 (918) 482-5441
Kickapoo Tribe of Oklahoma,Pottawatomie County,Kickapoo Head Start,105365 S Highway 102,McLoud,OK,74851-3051,(405) 964-3676,105365 S Highway 102 McLoud OK 74851-3051 (405) 964-3676
Northeast Oklahoma Community Action Agency,Delaware County,Education Station,856 E Melton Drive,Jay,OK,74346,(918) 253-6399,856 E Melton Drive Jay OK 74346 (918) 253-6399
Northeast Oklahoma Community Action Agency,Cherokee County,Henry Lee Doublehead CDC,18771 W Keetoowah Circle,Tahlequah,OK,74464,(918) 871-2799,18771 W Keetoowah Circle Tahlequah OK 74464 (918) 871-2799
Northeast Oklahoma Community Action Agency,Delaware County,Kids Company,119 W 7th St,Grove,OK,74344-3425,(918) 787-7990,119 W 7th St Grove OK 74344-3425 (918) 787-7990
Community Action Project of Tulsa County,Tulsa County,Rosa Parks ECEC,13804 E 46th Pl,Tulsa,OK,74134-5983,(918) 286-0660,13804 E 46th Pl Tulsa OK 74134-5983 (918) 286-0660
Little Dixie Community Action Agency,Choctaw County,Cabbage Patch (Formerly Giggle Time) EHS-CC,305 N F St,Hugo,OK,74743-3229,(580) 326-8286,305 N F St Hugo OK 74743-3229 (580) 326-8286
Little Dixie Community Action Agency,Choctaw County,Turner Learning Center EHS-CC,702 E Central St,Hugo,OK,74743-8036,(580) 326-7343,702 E Central St Hugo OK 74743-8036 (580) 326-7343
Little Dixie Community Action Agency,McCurtain County,The Learning Tree EHS-CC,1805 S Central Ave,Idabel,OK,74745-7914,(580) 286-9123,1805 S Central Ave Idabel OK 74745-7914 (580) 286-9123
Little Dixie Community Action Agency,McCurtain County,Early Learning Center - Broken Bow EHS-CC,1008 N Park Dr,Broken Bow,OK,74728-2150,(580) 584-9801,1008 N Park Dr Broken Bow OK 74728-2150 (580) 584-9801
Little Dixie Community Action Agency,McCurtain County,Early Learning Center-Idabel EHS-CC,1203 SE Quincy St,Idabel,OK,74745-6630,(580) 208-2517,1203 SE Quincy St Idabel OK 74745-6630 (580) 208-2517
Little Dixie Community Action Agency,Choctaw County,Early Learning Center-Swink EHS-CC,500 Jourdan St,Swink,OK,74761,(580) 873-9336,500 Jourdan St Swink OK 74761 (580) 873-9336
Little Dixie Community Action Agency,Pushmataha County,Early Learning Center-Antlers EHS-CC,611 SW B St,Antlers,OK,74523-3830,(580) 298-6405,611 SW B St Antlers OK 74523-3830 (580) 298-6405
Little Dixie Community Action Agency,Choctaw County,Early Learning Center-Hugo EHS-CC,113 W Lowery St,Hugo,OK,74743-6847,(580) 326-3781,113 W Lowery St Hugo OK 74743-6847 (580) 326-3781
Sunbeam Family Services,Oklahoma County,Childcare Network #204,1050 SW Grand Blvd,Oklahoma City,OK,73109-2923,(405) 634-1260,1050 SW Grand Blvd Oklahoma City OK 73109-2923 (405) 634-1260
Sunbeam Family Services,Oklahoma County,"Tony Reyes Bilingual Child Development Center, LCDA",420 SW 10th St,Oklahoma City,OK,73109-5610,(405) 236-4667,420 SW 10th St Oklahoma City OK 73109-5610 (405) 236-4667
Sunbeam Family Services,Oklahoma County,Linwood Early Learning Center,3034 NW 17th St,Oklahoma City,OK,73107-3904,(405) 947-7722,3034 NW 17th St Oklahoma City OK 73107-3904 (405) 947-7722
Sunbeam Family Services,Oklahoma County,Children's Lighthouse I,540 N Council Rd,Oklahoma City,OK,73127-4934,(405) 789-0661,540 N Council Rd Oklahoma City OK 73127-4934 (405) 789-0661
Sunbeam Family Services,Oklahoma County,OKCCAA Avery Chapel Child Care,1425 N Kelham Ave,Oklahoma City,OK,73117-3635,(405) 424-1068,1425 N Kelham Ave Oklahoma City OK 73117-3635 (405) 424-1068
Sunbeam Family Services,Oklahoma County,OKCCAA Santa Fe South Early Childhood Center,2222 SW 44th St,Oklahoma City,OK,73119-3526,(405) 600-1986,2222 SW 44th St Oklahoma City OK 73119-3526 (405) 600-1986
Sunbeam Family Services,Oklahoma County,OKCCAA Oak Grove HS/EHS,3301 SW 17th St,Oklahoma City,OK,73108-4000,(405) 685-2277,3301 SW 17th St Oklahoma City OK 73108-4000 (405) 685-2277
Sunbeam Family Services,Oklahoma County,OKCCAA Kiddie Village HS/EHS,801 NE 2nd St,Oklahoma City,OK,73104-6613,(405) 235-9833,801 NE 2nd St Oklahoma City OK 73104-6613 (405) 235-9833
Sunbeam Family Services,Oklahoma County,OKCCAA West Oak HS/EHS,2100 S Everest Ave,Oklahoma City,OK,73129-6348,(405) 677-8437,2100 S Everest Ave Oklahoma City OK 73129-6348 (405) 677-8437
Sunbeam Family Services,Oklahoma County,Educare Oklahoma City,500 SE Grand Blvd,Oklahoma City,OK,73129-4948,(405) 605-8232,500 SE Grand Blvd Oklahoma City OK 73129-4948 (405) 605-8232
Green Country Behavioral Health Services,Muskogee County,New Beginnings Child Care,410 Girard St,Muskogee,OK,74401-4456,(918) 684-4011,410 Girard St Muskogee OK 74401-4456 (918) 684-4011
Community Action Development Corporation,Washita County,Burns Flat Dill City Head Start,"100 Cimarron Rd
# A",Burns Flat,OK,73624,(580) 562-1776,"100 Cimarron Rd
# A Burns Flat OK 73624 (580) 562-1776"
Community Action Development Corporation,Washita County,Cordell Head Start,511 E Kiowa St,Cordell,OK,73632-6040,(580) 832-2454,511 E Kiowa St Cordell OK 73632-6040 (580) 832-2454
